epoch,value,metric,data
175,0.20888423919677734,loss,training
176,0.20814308524131775,loss,training
177,0.20705677568912506,loss,training
178,0.20727576315402985,loss,training
179,0.20703500509262085,loss,training
180,0.20581772923469543,loss,training
181,0.2060116082429886,loss,training
182,0.20551389455795288,loss,training
183,0.20419524610042572,loss,training
184,0.20460668206214905,loss,training
185,0.2036719024181366,loss,training
186,0.20362725853919983,loss,training
187,0.20322121679782867,loss,training
188,0.20272895693778992,loss,training
189,0.2021505981683731,loss,training
190,0.20190763473510742,loss,training
191,0.2009788602590561,loss,training
192,0.2007799595594406,loss,training
193,0.20046745240688324,loss,training
194,0.19981497526168823,loss,training
195,0.1998298168182373,loss,training
196,0.199630007147789,loss,training
197,0.19849790632724762,loss,training
198,0.198066845536232,loss,training
199,0.19815297424793243,loss,training
200,0.19771111011505127,loss,training
